Date,Price
2016-01-01,25.8710994720459
2016-01-04,25.8710994720459
2016-01-05,25.955900192260742
2016-01-06,25.541500091552734
2016-01-07,24.80030059814453
2016-01-08,25.07229995727539
2016-01-11,25.813199996948242
2016-01-12,25.20319938659668
2016-01-13,24.74839973449707
2016-01-14,25.3174991607666
2016-01-15,25.91469955444336
2016-01-18,26.08139991760254
2016-01-19,26.498300552368164
2016-01-20,26.532100677490234
2016-01-21,26.371999740600586
2016-01-22,26.52680015563965
2016-01-25,26.453800201416016
2016-01-26,26.52790069580078
2016-01-27,26.651399612426758
2016-01-28,26.832399368286133
2016-01-29,27.153499603271484
2016-02-01,27.640899658203125
2016-02-02,27.49340057373047
2016-02-03,27.981000900268555
2016-02-04,27.662500381469727
2016-02-05,28.578500747680664
2016-02-08,28.747400283813477
2016-02-09,28.504199981689453
2016-02-10,28.805200576782227
2016-02-11,28.919099807739258
2016-02-12,29.177799224853516
2016-02-15,29.216999053955078
2016-02-16,29.749500274658203
2016-02-17,29.489200592041016
2016-02-18,29.849700927734375
2016-02-19,28.885900497436523
2016-02-22,29.650299072265625
2016-02-23,29.61949920654297
2016-02-24,29.708999633789062
2016-02-25,29.565200805664062
2016-02-26,29.76140022277832
2016-02-29,29.600400924682617
2016-03-01,29.334999084472656
2016-03-02,29.215299606323242
2016-03-03,28.569299697875977
2016-03-04,27.881000518798828
2016-03-07,28.532699584960938
2016-03-08,28.444499969482422
2016-03-09,28.612300872802734
2016-03-10,28.420700073242188
2016-03-11,27.739099502563477
2016-03-14,27.740699768066406
2016-03-15,29.135400772094727
2016-03-16,29.59869956970215
2016-03-17,29.560400009155273
2016-03-18,29.715200424194336
2016-03-21,29.693599700927734
2016-03-22,29.407499313354492
2016-03-23,29.09749984741211
2016-03-24,29.021699905395508
2016-03-25,28.978500366210938
2016-03-28,28.978500366210938
2016-03-29,28.978500366210938
2016-03-30,29.310800552368164
2016-03-31,29.478700637817383
2016-04-01,29.595199584960938
2016-04-04,29.482500076293945
2016-04-05,29.415599822998047
2016-04-06,29.177600860595703
2016-04-07,29.152599334716797
2016-04-08,29.047800064086914
2016-04-11,28.83930015563965
2016-04-12,28.8656005859375
2016-04-13,28.737199783325195
2016-04-14,28.5231990814209
2016-04-15,28.52389907836914
2016-04-18,28.415300369262695
2016-04-19,28.52079963684082
2016-04-20,28.51849937438965
2016-04-21,28.574100494384766
2016-04-22,28.40089988708496
2016-04-25,28.27790069580078
2016-04-26,28.231199264526367
2016-04-27,28.221099853515625
2016-04-28,28.224700927734375
2016-04-29,28.293699264526367
2016-05-02,28.422100067138672
2016-05-03,28.54199981689453
2016-05-04,28.797000885009766
2016-05-05,28.589500427246094
2016-05-06,28.437400817871094
2016-05-09,28.468399047851562
2016-05-10,28.37980079650879
2016-05-11,28.390600204467773
2016-05-12,28.59149932861328
2016-05-13,28.605899810791016
2016-05-16,28.640600204467773
2016-05-17,28.4335994720459
2016-05-18,28.314300537109375
2016-05-19,28.152799606323242
2016-05-20,27.976900100708008
2016-05-23,27.909299850463867
2016-05-24,27.837200164794922
2016-05-25,27.799400329589844
2016-05-26,27.681800842285156
2016-05-27,27.76129913330078
2016-05-30,27.810699462890625
2016-05-31,27.7450008392334
2016-06-01,27.690500259399414
2016-06-02,27.67930030822754
2016-06-03,27.730600357055664
2016-06-06,27.493600845336914
2016-06-07,27.986000061035156
2016-06-08,28.065200805664062
2016-06-09,28.080799102783203
2016-06-10,28.050600051879883
2016-06-13,27.93910026550293
2016-06-14,27.76059913635254
2016-06-15,27.6830997467041
2016-06-16,27.64859962463379
2016-06-17,27.595199584960938
2016-06-20,27.736299514770508
2016-06-21,27.89929962158203
2016-06-22,27.881799697875977
2016-06-23,27.8031005859375
2016-06-24,28.035200119018555
2016-06-27,27.20490074157715
2016-06-28,27.109600067138672
2016-06-29,27.297700881958008
2016-06-30,27.2726993560791
2016-07-01,27.351900100708008
2016-07-04,27.311100006103516
2016-07-05,27.30699920654297
2016-07-06,27.417699813842773
2016-07-07,27.186899185180664
2016-07-08,27.184799194335938
2016-07-11,27.179399490356445
2016-07-12,27.156299591064453
2016-07-13,27.24340057373047
2016-07-14,27.156700134277344
2016-07-15,27.20989990234375
2016-07-18,27.365400314331055
2016-07-19,27.143400192260742
2016-07-20,27.147899627685547
2016-07-21,27.008100509643555
2016-07-22,27.023700714111328
2016-07-25,27.020700454711914
2016-07-26,26.946199417114258
2016-07-27,26.974000930786133
2016-07-28,26.970699310302734
2016-07-29,27.19099998474121
2016-08-01,27.271699905395508
2016-08-02,27.406999588012695
2016-08-03,27.48579978942871
2016-08-04,27.48390007019043
2016-08-05,27.308000564575195
2016-08-08,27.35759925842285
2016-08-09,27.212299346923828
2016-08-10,27.201400756835938
2016-08-11,27.413999557495117
2016-08-12,27.404600143432617
2016-08-15,27.69580078125
2016-08-16,27.681400299072266
2016-08-17,27.89229965209961
2016-08-18,27.98539924621582
2016-08-19,28.2273006439209
2016-08-22,28.293100357055664
2016-08-23,28.27790069580078
2016-08-24,28.388700485229492
2016-08-25,28.28190040588379
2016-08-26,28.41710090637207
2016-08-29,28.46540069580078
2016-08-30,28.23390007019043
2016-08-31,28.461599349975586
2016-09-01,28.91860008239746
2016-09-02,29.474599838256836
2016-09-05,29.506999969482422
2016-09-06,29.56369972229004
2016-09-07,29.683700561523438
2016-09-08,29.72130012512207
2016-09-09,29.765100479125977
2016-09-12,29.74139976501465
2016-09-13,29.57110023498535
2016-09-14,29.211299896240234
2016-09-15,29.221599578857422
2016-09-16,29.09440040588379
2016-09-19,28.711000442504883
2016-09-20,28.44569969177246
2016-09-21,28.6564998626709
2016-09-22,28.614700317382812
2016-09-23,28.84000015258789
2016-09-26,28.859699249267578
2016-09-27,28.834999084472656
2016-09-28,28.72319984436035
2016-09-29,28.673099517822266
2016-09-30,28.71739959716797
2016-10-03,28.621200561523438
2016-10-04,28.8164005279541
2016-10-05,28.555999755859375
2016-10-06,28.72800064086914
2016-10-07,28.64620018005371
2016-10-10,28.44219970703125
2016-10-11,28.569299697875977
2016-10-12,28.342300415039062
2016-10-13,28.12619972229004
2016-10-14,28.137500762939453
2016-10-17,28.093700408935547
2016-10-18,28.017099380493164
2016-10-19,27.88409996032715
2016-10-20,27.93720054626465
2016-10-21,27.828699111938477
2016-10-24,27.63680076599121
2016-10-25,27.642900466918945
2016-10-26,27.57819938659668
2016-10-27,27.631000518798828
2016-10-28,27.57539939880371
2016-10-31,27.5093994140625
2016-11-01,27.63990020751953
2016-11-02,27.907800674438477
2016-11-03,28.035200119018555
2016-11-04,28.05660057067871
2016-11-07,28.09670066833496
2016-11-08,27.984100341796875
2016-11-09,27.93120002746582
2016-11-10,28.048200607299805
2016-11-11,27.582799911499023
2016-11-14,27.5762996673584
2016-11-15,27.50830078125
2016-11-16,27.85409927368164
